timestamp,gate1_marker1_x,gate1_marker1_y,gate1_marker1_z,gate1_marker2_x,gate1_marker2_y,gate1_marker2_z,gate1_marker3_x,gate1_marker3_y,gate1_marker3_z,gate1_marker4_x,gate1_marker4_y,gate1_marker4_z,gate2_marker1_x,gate2_marker1_y,gate2_marker1_z,gate2_marker2_x,gate2_marker2_y,gate2_marker2_z,gate2_marker3_x,gate2_marker3_y,gate2_marker3_z,gate2_marker4_x,gate2_marker4_y,gate2_marker4_z,gate3_marker1_x,gate3_marker1_y,gate3_marker1_z,gate3_marker2_x,gate3_marker2_y,gate3_marker2_z,gate3_marker3_x,gate3_marker3_y,gate3_marker3_z,gate3_marker4_x,gate3_marker4_y,gate3_marker4_z,gate4_marker1_x,gate4_marker1_y,gate4_marker1_z,gate4_marker2_x,gate4_marker2_y,gate4_marker2_z,gate4_marker3_x,gate4_marker3_y,gate4_marker3_z,gate4_marker4_x,gate4_marker4_y,gate4_marker4_z
1691765277731119.0,3.978662,2.038142,0.37034,4.016507,0.531662,0.374227,3.97889,0.541204,1.902541,3.939672,2.086619,1.89659,4.016,-0.565358,1.922877,4.018316,-0.59652,0.396521,4.003097,-2.105072,1.930985,3.995686,-2.098081,0.406583,-4.055528,-2.04858,1.93312,-4.017856,-2.045774,0.398648,-3.993586,-0.536209,0.39629,-3.967608,-0.513489,1.927369,-3.965144,0.532401,0.406148,-3.921313,0.520286,1.932996,-3.994973,2.033595,0.413167,-4.021424,2.034069,1.945475
1691765277734749.0,3.978656,2.038137,0.370363,4.016535,0.531682,0.374265,3.97894,0.541247,1.902435,3.939663,2.086575,1.896618,4.016002,-0.565336,1.922897,4.018274,-0.596511,0.396498,4.003109,-2.105064,1.930987,3.995688,-2.098073,0.406574,-4.055658,-2.048507,1.933139,-4.01793,-2.045647,0.398775,-3.993527,-0.53608,0.396402,-3.967606,-0.513523,1.927373,-3.965213,0.532448,0.406071,-3.921394,0.520298,1.93296,-3.995045,2.033613,0.413075,-4.021455,2.03407,1.945429
1691765277738389.0,3.978587,2.038117,0.370482,4.016505,0.531684,0.374265,3.978838,0.541197,1.90256,3.939621,2.086564,1.896624,4.016048,-0.565366,1.922902,4.01826,-0.596506,0.396505,4.003038,-2.105089,1.930971,3.995714,-2.0981,0.406577,-4.055616,-2.048514,1.933162,-4.017911,-2.045735,0.398808,-3.993548,-0.536071,0.396402,-3.967594,-0.513534,1.927369,-3.965215,0.532433,0.406065,-3.921406,0.520327,1.932944,-3.995019,2.03358,0.413078,-4.021459,2.034147,1.945459
1691765277742029.0,3.978618,2.038089,0.370366,4.016558,0.53167,0.374258,3.978822,0.541147,1.902565,3.939629,2.086601,1.896669,4.016019,-0.565386,1.9229,4.018275,-0.59652,0.396499,4.003111,-2.105071,1.931007,3.995679,-2.098105,0.406581,-4.055623,-2.048548,1.933125,-4.017954,-2.045759,0.398687,-3.993411,-0.536184,0.396347,-3.96762,-0.513477,1.927412,-3.965176,0.532422,0.406039,-3.921399,0.520314,1.932953,-3.995032,2.033561,0.413066,-4.021486,2.034135,1.945387
1691765277745659.0,3.978624,2.038075,0.370411,4.016489,0.531644,0.374304,3.978869,0.541208,1.902522,3.939647,2.086603,1.896601,4.016041,-0.565357,1.922901,4.018258,-0.596514,0.396482,4.003108,-2.105073,1.931015,3.995735,-2.098111,0.406621,-4.055587,-2.048536,1.933174,-4.01787,-2.04591,0.398691,-3.993391,-0.536095,0.396351,-3.967582,-0.513451,1.927392,-3.965185,0.532448,0.406048,-3.9214,0.520316,1.932863,-3.995025,2.033578,0.413047,-4.021514,2.034174,1.94537
1691765277749299.0,3.978586,2.038102,0.370453,4.01646,0.531654,0.374243,3.978851,0.541148,1.90256,3.93965,2.086587,1.896604,4.016031,-0.565356,1.922899,4.018261,-0.596514,0.396503,4.003114,-2.10508,1.931021,3.995669,-2.098116,0.406571,-4.055649,-2.048557,1.933184,-4.01792,-2.045636,0.398689,-3.993475,-0.53607,0.396372,-3.967629,-0.513468,1.927421,-3.965183,0.532466,0.406044,-3.921411,0.520298,1.93288,-3.994968,2.033594,0.413111,-4.021405,2.034108,1.945415
1691765277752939.0,3.978548,2.038054,0.370448,4.016483,0.531628,0.374258,3.978857,0.541154,1.902521,3.939671,2.086575,1.896591,4.016,-0.565374,1.922903,4.018238,-0.596514,0.396496,4.003123,-2.105083,1.931011,3.995721,-2.098113,0.406621,-4.055608,-2.048538,1.933147,-4.017768,-2.045811,0.398654,-3.993547,-0.536195,0.396357,-3.967481,-0.513524,1.927312,-3.965198,0.532437,0.406055,-3.921387,0.520331,1.932908,-3.994976,2.033574,0.413068,-4.021345,2.034073,1.94548
1691765277756569.0,3.978573,2.038115,0.370403,4.016495,0.531651,0.374253,3.978894,0.541169,1.902514,3.939636,2.086572,1.896562,4.015957,-0.565377,1.9229,4.018267,-0.596517,0.396511,4.003095,-2.105087,1.93101,3.99577,-2.098054,0.406625,-4.055444,-2.048541,1.933125,-4.017338,-2.045987,0.398389,-3.993514,-0.536161,0.396384,-3.967595,-0.513503,1.927343,-3.965228,0.532449,0.406081,-3.921468,0.52031,1.932897,-3.994938,2.033612,0.413142,-4.021373,2.034131,1.945443
1691765277760209.0,3.978581,2.038113,0.370373,4.016486,0.531636,0.374252,3.979016,0.541264,1.902426,3.939682,2.086535,1.896554,4.016012,-0.565378,1.922871,4.018277,-0.596511,0.396521,4.003131,-2.10506,1.930984,3.995745,-2.098089,0.40662,-4.055443,-2.048543,1.933112,-4.017458,-2.045975,0.398387,-3.993572,-0.536189,0.396348,-3.967537,-0.513442,1.927323,-3.965169,0.532451,0.406123,-3.921353,0.520294,1.932953,-3.994951,2.033605,0.41312,-4.021266,2.034076,1.945497
1691765277763839.0,3.979313,2.038846,0.369734,4.016417,0.531659,0.374264,3.978965,0.541244,1.902415,3.939687,2.086585,1.896541,4.015985,-0.565363,1.922873,4.018239,-0.596521,0.396485,4.003135,-2.105082,1.931027,3.995753,-2.098062,0.406582,-4.055637,-2.048497,1.933126,-4.01744,-2.045973,0.398407,-3.993538,-0.536203,0.396333,-3.967565,-0.513466,1.927319,-3.965146,0.532433,0.406138,-3.921386,0.520282,1.932981,-3.994926,2.033601,0.413137,-4.021297,2.034073,1.945511
