timestamp,roll,pitch,yaw,norm_thrust
1691768151000930,0.00000000,0.00000000,0.00000000,0.00000000
1691768151011166,0.00000000,0.00000000,0.00000000,0.00000000
1691768151020927,0.00000000,0.00000000,0.00000000,0.00000000
1691768151030928,0.00000000,0.00000000,0.00000000,0.00000000
1691768151040927,0.00000000,0.00000000,0.00000000,0.00000000
1691768151050927,0.00000000,0.00000000,0.00000000,0.00000000
1691768151060935,0.00000000,0.00000000,0.00000000,0.00000000
1691768151070938,0.00000000,0.00000000,0.00000000,0.00000000
1691768151080929,0.00000000,0.00000000,0.00000000,0.00000000
1691768151090924,0.00000000,0.00000000,0.00000000,0.00000000
1691768151100930,0.00000000,0.00000000,0.00000000,0.00000000
1691768151110933,0.00000000,0.00000000,0.00000000,0.00000000
1691768151120933,0.00000000,0.00000000,0.00000000,0.00000000
1691768151130952,0.00000000,0.00000000,0.00000000,0.00000000
1691768151144126,-0.11048204,0.42631724,0.29250076,11.22771454
1691768151146953,-0.11733922,0.42041853,0.29282919,11.24764538
1691768151150645,-0.11234602,0.42881435,0.29254726,11.22479725
1691768151154162,-0.10804832,0.42440277,0.29242364,11.26401711
1691768151158519,-0.10693436,0.42055756,0.29230863,11.27816677
1691768151162807,-0.11379083,0.42444766,0.29253531,11.31379318
1691768151165261,-0.11342803,0.42304164,0.29255241,11.31313324
1691768151169327,-0.11121745,0.42513627,0.29250959,11.31049156
1691768151173779,-0.10819322,0.42127317,0.29234359,11.36332703
1691768151176399,-0.10912306,0.42538920,0.29221764,11.34535217
1691768151180820,-0.11028740,0.42468530,0.29161114,11.35481739
1691768151184478,-0.11519703,0.42670909,0.29128665,11.39431572
1691768151187582,-0.11516584,0.42511606,0.29029387,11.39284134
1691768151192155,-0.11191325,0.41665554,0.28757012,11.43279362
1691768151194546,-0.11645695,0.41862246,0.28484106,11.39606667
1691768151198517,-0.11684147,0.39760816,0.28068882,11.36478806
1691768151202623,-0.12066608,0.40017906,0.27196506,11.42628574
1691768151205094,-0.11984058,0.37871903,0.26145622,11.40966225
1691768151208940,-0.12626664,0.32337949,0.25297022,11.31809521
1691768151212457,-0.12445147,0.27226421,0.24329628,11.32314873
1691768151216451,-0.12034175,0.25531381,0.23139983,11.28179359
1691768151220557,-0.12317210,0.27793798,0.21689710,11.32992840
1691768151223553,-0.17097214,0.28323266,0.19560173,11.58255005
1691768151227493,-0.18289812,0.11752537,0.18357405,11.39266205
1691768151231575,-0.16012292,0.01059699,0.17267302,11.22805405
1691768151234119,-0.17576331,0.21726809,0.15810668,11.39395905
1691768151238141,-0.22723246,0.10611361,0.14656590,11.56138706
1691768151241604,-0.18294042,0.07078513,0.13426194,11.55542850
1691768151245697,-0.15539441,0.03547186,0.12467492,11.38542557
1691768151249535,-0.13005455,-0.02605135,0.11622832,11.12547207
1691768151254306,-0.12898940,-0.03573227,0.10723369,10.85745430
1691768151256033,-0.08555781,-0.06742422,0.09569678,10.77602196
1691768151259638,-0.11694021,-0.13733765,0.08850747,10.56708241
1691768151265220,-0.02789425,-0.20664480,0.08374504,10.41998863
1691768151267555,-0.01705991,-0.18641816,0.07819600,10.24792767
1691768151271517,-0.01700171,-0.12977532,0.07245116,10.05080318
1691768151274452,0.01899445,-0.23435044,0.06686107,10.33824062
1691768151279930,0.02101842,-0.24288420,0.06241908,10.06704712
1691768151282407,0.03351721,-0.23536074,0.05764555,10.06142998
1691768151285081,0.15354772,-0.30930856,0.05644261,9.99887943
1691768151288759,0.07254288,-0.21874613,0.05136526,9.60085392
1691768151294231,0.08134241,-0.22603795,0.04814541,9.65273857
1691768151296727,0.05760783,-0.17382482,0.04247999,9.61840630
1691768151300601,0.13525362,-0.40734300,0.04047938,10.16999340
1691768151303728,0.10255989,-0.36385438,0.03613558,9.76345539
1691768151307828,0.07848606,-0.33459204,0.03236387,9.59638119
1691768151310731,0.11828652,-0.34459329,0.03106646,9.47527599
1691768151314811,0.13028628,-0.32198822,0.02949269,9.43259907
1691768151318662,0.11339565,-0.30256101,0.02698521,9.55103970
1691768151322773,0.02429926,-0.50348437,0.02031663,10.15706635
1691768151325043,0.16639440,-0.33943072,0.02353455,9.29976940
1691768151328786,0.20923655,-0.32339323,0.02176164,9.47337627
1691768151332636,0.22431661,-0.22006175,0.02033577,9.44114590
1691768151335951,0.17189452,-0.21111967,0.01786169,9.52227783
1691768151342116,-0.00446759,-0.50161177,0.00768688,10.18436432
1691768151346101,-0.01375279,-0.49005243,0.00465753,10.12028313
1691768151347926,0.15532659,-0.27701205,0.00599224,9.07909203
1691768151352132,0.18306690,-0.25945359,0.00153874,9.39507008
