timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1691757109043308,-0.59376204,0.02873042,9.85453415,-0.00426106,0.00426106,0.00532632
1691757109045379,-0.59376204,-0.03351882,9.83059216,-0.00106526,0.00106526,0.01384844
1691757109047339,-0.57460839,0.06703765,9.81622696,-0.00639159,0.00319579,0.01810949
1691757109049300,-0.58897364,0.01915361,9.84974575,-0.00958738,0.00106526,0.00639159
1691757109051325,-0.60812724,0.07661445,9.79707336,-0.00213053,-0.00319579,-0.01597897
1691757109053359,-0.62728083,0.15322891,9.78270817,0.00000000,-0.00319579,-0.02876214
1691757109055361,-0.62728083,0.05746084,9.84974575,0.00745685,0.00426106,-0.02663161
1691757109057314,-0.58418524,0.03830723,9.81143856,0.00958738,0.00958738,-0.01171791
1691757109059271,-0.55066639,-0.00957681,9.79228497,0.00958738,0.00319579,0.00958738
1691757109061309,-0.58418524,0.04788403,9.84974575,-0.00639159,-0.00319579,0.02024002
1691757109063291,-0.65601128,0.00478840,9.85453415,-0.00213053,0.00000000,0.01704423
1691757109065435,-0.61770403,0.04309563,9.78270817,0.00106526,0.00000000,0.00106526
1691757109067273,-0.64643449,0.04788403,9.87847614,0.00426106,0.00106526,-0.02237055
1691757109069261,-0.65122288,0.00000000,9.85932255,-0.00426106,0.00958738,-0.03089267
1691757109071307,-0.65122288,0.04309563,9.81143856,-0.00106526,0.00639159,-0.02556635
1691757109073371,-0.59376204,0.13886370,9.81622696,-0.00319579,0.00213053,-0.01171791
1691757109075305,-0.60812724,0.03830723,9.85932255,0.00106526,0.00852212,0.01171791
1691757109077370,-0.58418524,0.04788403,9.79707336,-0.00745685,0.00000000,0.03941479
1691757109079388,-0.63206923,0.04788403,9.84016895,0.01704423,0.00106526,-0.03302320
1691757109081410,-0.67995328,0.05267244,9.92636013,0.02450108,-0.00106526,-0.10972223
1691757109083271,-0.59855044,0.10534488,9.88805294,0.01704423,-0.00639159,-0.11078750
1691757109085331,-0.59855044,0.08619126,9.86411095,-0.00319579,0.00106526,-0.03515373
1691757109087340,-0.56981999,0.03351882,9.85932255,-0.02556635,0.00639159,0.05006743
1691757109089317,-0.61291564,0.01436521,9.93593693,-0.01704423,0.00532632,-0.02237055
1691757109091401,-0.67037648,0.11492168,9.93114853,0.01171791,-0.00532632,-0.02130529
1691757109093284,-0.61291564,0.18195933,9.90241814,0.00319579,-0.00852212,-0.05326322
1691757109095377,-0.66079968,0.25378537,9.84495735,-0.01597897,-0.03515373,-0.09267800
1691757109097290,-0.83318222,0.05267244,9.94072533,-0.02237055,-0.05432849,-0.01065264
1691757109099259,-0.94331545,-0.01915361,9.92636013,-0.03302320,-0.07030746,-0.00532632
1691757109101271,-0.76135612,0.17238252,9.85453415,0.02024002,-0.10013486,-0.03302320
1691757109103351,-0.96725750,0.07661445,10.02212811,-0.01384844,-0.15978967,-0.03408846
1691757109105323,-1.12527478,-0.07661445,9.95509052,-0.01704423,-0.21944447,-0.01810949
1691757109107334,-0.92416185,0.09097967,9.80665016,-0.00426106,-0.24501082,-0.00319579
1691757109109277,-0.89064306,0.18195933,10.01255131,-0.00213053,-0.34940675,-0.01171791
1691757109111371,-0.68953007,0.19153613,9.88805294,-0.00852212,-0.42077947,-0.02556635
1691757109113292,-0.67037648,0.06703765,10.03170490,-0.02024002,-0.49641323,-0.01917476
1691757109115276,-0.61291564,-0.01915361,10.09874249,-0.02876214,-0.57204700,-0.03089267
1691757109117302,-0.23463176,0.07661445,9.94072533,-0.04261058,-0.61678809,-0.04900216
