timestamp,roll,pitch,yaw,norm_thrust
1704701992828874,0.19873442,0.33778119,-0.05821932,6.29927731
1704701992888829,-0.36475962,-0.66605783,-0.04953572,10.61624146
1704701992890799,-0.36944920,-0.68347961,-0.04881829,10.52314091
1704701992900847,-0.36871791,-0.68018866,-0.04770441,10.07580662
1704701992906844,-0.34996057,-0.65282589,-0.04734257,9.81110096
1704701992912878,-0.32554051,-0.61606723,-0.05009062,9.54307938
1704701992919012,-0.29535300,-0.56172019,-0.05304337,9.25985241
1704701992924815,-0.25919068,-0.47221473,-0.05301815,9.00480270
1704701992930796,-0.20636082,-0.34050095,-0.04897590,8.74075222
1704701992936870,-0.13057533,-0.17805305,-0.04272915,8.44888592
1704701992944853,-0.00920235,0.06125684,-0.03247600,8.07789040
1704701992950860,0.08164129,0.23950088,-0.02544728,7.82290506
1704701992956883,0.17171438,0.40073913,-0.02017197,7.61420965
1704701992962882,0.24680182,0.53241324,-0.01718526,7.44126701
1704701992968876,0.30500183,0.62642950,-0.01587332,7.29361677
1704701992974852,0.34597707,0.67487365,-0.01428162,7.19735622
1704701992980809,0.36692443,0.68210548,-0.01374179,7.12943411
1704701992986849,0.37075937,0.64991212,-0.01440509,7.11290646
1704701992992809,0.35602400,0.59135777,-0.01568238,7.13434410
1704701992998841,0.32125998,0.50506526,-0.01617186,7.18552732
1704701993004870,0.27515617,0.40848315,-0.01547746,7.28621864
1704701993014842,0.17679697,0.23339291,-0.01446428,7.50822544
1704701993016823,0.15892406,0.20727327,-0.01406636,7.57289743
1704701993026837,0.05458859,0.05517806,-0.01409591,7.89882612
1704701993032799,-0.00140474,-0.01660240,-0.01391845,8.12686348
1704701993038825,-0.04868312,-0.06148043,-0.01330014,8.34014034
1704701993044948,-0.08129369,-0.02298344,-0.01153962,8.45605183
1704701993050898,-0.11116540,0.01301157,-0.01328745,8.40771198
1704701993056823,-0.15513405,0.00448130,-0.01533502,8.26029968
1704701993062826,-0.19681516,-0.00810692,-0.01584998,8.08443928
1704701993068850,-0.22563422,-0.00395539,-0.01444057,7.90712404
1704701993076829,-0.24891794,0.02672327,-0.01323341,7.70346355
1704701993082986,-0.24713458,0.05485949,-0.01262866,7.59936666
1704701993088957,-0.22818413,0.07093937,-0.01181604,7.53687000
1704701993094855,-0.19716887,0.08559940,-0.01101980,7.53508472
1704701993100830,-0.15284747,0.09205415,-0.01047278,7.56709719
1704701993106830,-0.10167575,0.09232277,-0.01013827,7.65700436
1704701993112932,-0.04839346,0.08692691,-0.00976314,7.78983688
1704701993118859,-0.00449936,0.09765244,-0.00987565,7.91418314
1704701993124824,0.02953948,0.11927652,-0.01056304,7.98569965
1704701993130870,0.07505488,0.11214226,-0.01040148,7.98307276
1704701993140794,0.15454859,0.05389537,-0.01171915,7.90440941
1704701993146867,0.19188836,0.01050339,-0.01365265,7.87708092
1704701993152843,0.21088260,-0.02287449,-0.01511674,7.87407875
1704701993154831,0.21202268,-0.02905022,-0.01535527,7.86873817
1704701993164813,0.19297996,-0.04555887,-0.01500566,7.86857176
1704701993170891,0.16381717,-0.06738747,-0.01511307,7.86162138
1704701993176872,0.12382999,-0.10370065,-0.01516232,7.85616684
1704701993183024,0.07747480,-0.13213639,-0.01426280,7.88233376
1704701993188854,0.02749932,-0.14458455,-0.01286809,7.90765095
1704701993194890,-0.02951682,-0.15133795,-0.01178771,7.91132927
1704701993200849,-0.08618158,-0.15336002,-0.01103453,7.93582106
