timestamp,vbat
1704701992662318,24.89999962
1704701992682188,24.89999962
1704701992702555,24.89999962
1704701992723035,24.89999962
1704701992742336,24.89999962
1704701992762584,24.89999962
1704701992782878,24.89999962
1704701992802559,24.89999962
1704701992822742,24.89999962
1704701992842469,24.89999962
1704701992862693,24.79999924
1704701992882453,24.79999924
1704701992902495,24.70000076
1704701992922492,24.70000076
1704701992942530,24.70000076
1704701992962554,24.70000076
1704701992982583,24.70000076
1704701993003015,24.60000038
1704701993022611,24.60000038
1704701993042605,24.60000038
1704701993062626,24.60000038
1704701993082938,24.60000038
1704701993102278,24.60000038
1704701993122954,24.60000038
1704701993142440,24.60000038
1704701993162444,24.60000038
1704701993182457,24.60000038
1704701993202516,24.60000038
1704701993222479,24.60000038
1704701993242482,24.60000038
1704701993262519,24.60000038
1704701993282510,24.60000038
1704701993302554,24.60000038
1704701993322538,24.60000038
1704701993342591,24.60000038
1704701993362634,24.60000038
1704701993382603,24.60000038
1704701993402658,24.60000038
1704701993422669,24.60000038
1704701993442658,24.60000038
1704701993462725,24.60000038
1704701993482187,24.50000000
1704701993502242,24.50000000
1704701993522225,24.50000000
1704701993542447,24.50000000
1704701993562381,24.50000000
1704701993582396,24.50000000
1704701993602420,24.50000000
1704701993622420,24.50000000
1704701993642453,24.50000000
1704701993662462,24.50000000
1704701993682479,24.50000000
1704701993702547,24.50000000
1704701993722529,24.50000000
1704701993742521,24.50000000
1704701993762549,24.50000000
1704701993782566,24.50000000
1704701993802584,24.50000000
1704701993822595,24.50000000
1704701993842610,24.50000000
1704701993862645,24.50000000
1704701993882622,24.50000000
1704701993902685,24.50000000
1704701993922673,24.50000000
1704701993942723,24.50000000
1704701993962272,24.50000000
1704701993982294,24.50000000
1704701994002368,24.50000000
1704701994022325,24.50000000
1704701994042408,24.50000000
1704701994062365,24.39999962
1704701994082941,24.39999962
1704701994102432,24.39999962
1704701994122406,24.39999962
1704701994142476,24.39999962
1704701994162560,24.39999962
