timestamp,roll,pitch,thrust,yaw,aux1,aux2,aux3,aux4
1691761070806048,1500,1500,1000,1500,1000,0,0,0
1691761070816069,1500,1500,1000,1500,1000,0,0,0
1691761070826044,1500,1500,1000,1500,1000,0,0,0
1691761070835980,1500,1500,1000,1500,1000,0,0,0
1691761070845998,1500,1500,1000,1500,1000,0,0,0
1691761070856014,1500,1500,1000,1500,1000,0,0,0
1691761070866053,1500,1500,1000,1500,1000,0,0,0
1691761070876018,1500,1500,1000,1500,1000,0,0,0
1691761070886019,1500,1500,1000,1500,1000,0,0,0
1691761070896034,1500,1500,1000,1500,1000,0,0,0
1691761070906108,1500,1500,1000,1500,1000,0,0,0
1691761070916060,1500,1500,1000,1500,1000,0,0,0
1691761070926030,1500,1500,1000,1500,1000,0,0,0
1691761070936042,1500,1500,1000,1500,1000,0,0,0
1691761070946014,1500,1500,1000,1500,1000,0,0,0
1691761070956831,1500,1506,1254,1514,1000,0,0,0
1691761070959472,1500,1507,1279,1516,1000,0,0,0
1691761070963077,1500,1506,1282,1516,1000,0,0,0
1691761070967101,1500,1504,1284,1516,1000,0,0,0
1691761070972049,1500,1507,1283,1516,1000,0,0,0
1691761070975120,1500,1507,1283,1516,1000,0,0,0
1691761070977643,1500,1506,1284,1516,1000,0,0,0
1691761070981408,1500,1507,1284,1516,1000,0,0,0
1691761070985089,1500,1504,1285,1516,1000,0,0,0
1691761070988937,1500,1507,1285,1516,1000,0,0,0
1691761070993413,1500,1507,1285,1516,1000,0,0,0
1691761070996057,1500,1507,1285,1516,1000,0,0,0
1691761071000128,1500,1502,1287,1515,1000,0,0,0
1691761071004001,1499,1499,1288,1515,1000,0,0,0
1691761071006531,1500,1504,1287,1515,1000,0,0,0
1691761071010774,1501,1506,1287,1515,1000,0,0,0
1691761071014017,1501,1507,1286,1515,1000,0,0,0
1691761071019479,1501,1507,1287,1515,1000,0,0,0
1691761071021884,1501,1505,1288,1514,1000,0,0,0
1691761071026957,1501,1506,1288,1514,1000,0,0,0
1691761071033732,1501,1506,1288,1514,1000,0,0,0
1691761071033926,1502,1509,1284,1514,1000,0,0,0
1691761071036090,1501,1505,1286,1513,1000,0,0,0
1691761071039972,1501,1499,1287,1512,1000,0,0,0
1691761071044155,1503,1509,1278,1512,1000,0,0,0
1691761071046531,1501,1499,1283,1511,1000,0,0,0
1691761071050403,1501,1501,1277,1511,1000,0,0,0
1691761071053948,1501,1500,1277,1510,1000,0,0,0
1691761071057949,1501,1504,1275,1510,1000,0,0,0
1691761071061445,1502,1511,1266,1509,1000,0,0,0
1691761071064988,1499,1496,1274,1509,1000,0,0,0
1691761071069390,1501,1501,1264,1508,1000,0,0,0
1691761071072346,1501,1501,1263,1507,1000,0,0,0
1691761071077267,1498,1491,1269,1507,1000,0,0,0
1691761071079962,1498,1493,1262,1506,1000,0,0,0
1691761071083713,1498,1488,1264,1505,1000,0,0,0
1691761071087088,1503,1509,1247,1505,1000,0,0,0
1691761071092110,1502,1510,1246,1504,1000,0,0,0
1691761071094070,1500,1502,1253,1504,1000,0,0,0
1691761071098602,1498,1491,1261,1503,1000,0,0,0
1691761071103410,1496,1489,1260,1503,1000,0,0,0
1691761071105974,1499,1495,1251,1502,1000,0,0,0
1691761071108715,1500,1501,1247,1502,1000,0,0,0
1691761071112563,1503,1506,1247,1501,1000,0,0,0
1691761071117213,1500,1506,1247,1501,1000,0,0,0
1691761071120269,1501,1509,1246,1501,1000,0,0,0
1691761071124308,1502,1506,1245,1501,1000,0,0,0
1691761071126681,1498,1504,1246,1500,1000,0,0,0
1691761071130480,1497,1498,1245,1500,1000,0,0,0
1691761071134281,1499,1498,1247,1500,1000,0,0,0
1691761071138175,1496,1481,1252,1500,1000,0,0,0
1691761071142241,1496,1483,1250,1499,1000,0,0,0
1691761071146537,1500,1490,1250,1499,1000,0,0,0
1691761071149417,1500,1498,1246,1499,1000,0,0,0
1691761071153415,1505,1504,1243,1499,1000,0,0,0
1691761071156130,1499,1490,1253,1498,1000,0,0,0
1691761071160312,1502,1512,1238,1498,1000,0,0,0
1691761071163404,1501,1512,1240,1498,1000,0,0,0
1691761071170091,1501,1507,1243,1498,1000,0,0,0
1691761071171944,1499,1502,1248,1498,1000,0,0,0
1691761071179479,1500,1502,1246,1498,1000,0,0,0
1691761071179649,1501,1501,1244,1498,1000,0,0,0
1691761071182381,1501,1500,1244,1498,1000,0,0,0
1691761071184842,1498,1485,1253,1498,1000,0,0,0
1691761071188448,1498,1483,1252,1498,1000,0,0,0
1691761071192436,1501,1504,1240,1498,1000,0,0,0
1691761071196340,1501,1505,1242,1498,1000,0,0,0
1691761071202334,1501,1502,1245,1498,1000,0,0,0
1691761071204238,1498,1498,1250,1498,1000,0,0,0
1691761071208836,1499,1497,1241,1498,1000,0,0,0
