timestamp,roll,pitch,yaw,norm_thrust
1691765277730929,0.00000000,0.00000000,0.00000000,0.00000000
1691765277740926,0.00000000,0.00000000,0.00000000,0.00000000
1691765277750930,0.00000000,0.00000000,0.00000000,0.00000000
1691765277761110,0.00000000,0.00000000,0.00000000,0.00000000
1691765277770923,0.00000000,0.00000000,0.00000000,0.00000000
1691765277780920,0.00000000,0.00000000,0.00000000,0.00000000
1691765277790915,0.00000000,0.00000000,0.00000000,0.00000000
1691765277800922,0.00000000,0.00000000,0.00000000,0.00000000
1691765277810927,0.00000000,0.00000000,0.00000000,0.00000000
1691765277820917,0.00000000,0.00000000,0.00000000,0.00000000
1691765277830925,0.00000000,0.00000000,0.00000000,0.00000000
1691765277840934,0.00000000,0.00000000,0.00000000,0.00000000
1691765277850919,0.00000000,0.00000000,0.00000000,0.00000000
1691765277860930,0.00000000,0.00000000,0.00000000,0.00000000
1691765277870930,0.00000000,0.00000000,0.00000000,0.00000000
1691765277880923,0.00000000,0.00000000,0.00000000,0.00000000
1691765277890933,0.00000000,0.00000000,0.00000000,0.00000000
1691765277901377,-0.16021667,0.41060758,0.10726956,11.22866058
1691765277904119,-0.16231181,0.42607611,0.10661544,11.21341991
1691765277908257,-0.16129054,0.41504306,0.10683028,11.22206402
1691765277912130,-0.16034828,0.40834498,0.10681257,11.27889061
1691765277915803,-0.16220570,0.41291198,0.10682476,11.27133656
1691765277918559,-0.16259311,0.45957315,0.10656116,11.24027729
1691765277922843,-0.16184029,0.42251289,0.10712864,11.30821991
1691765277926885,-0.16479446,0.45950049,0.10704393,11.26155090
1691765277929615,-0.16138239,0.41526365,0.10759324,11.30397797
1691765277934912,-0.15436170,0.40369165,0.10765097,11.34070587
1691765277937685,-0.16489223,0.40078464,0.10833611,11.35649300
1691765277940389,-0.16084175,0.39590508,0.10835981,11.35264683
1691765277943974,-0.16553259,0.41043812,0.10803837,11.37103271
1691765277947807,-0.15505400,0.39979109,0.10666100,11.37258148
1691765277951892,-0.16116194,0.37893361,0.10698083,11.40981197
1691765277955877,-0.16137987,0.37517980,0.10680266,11.40448380
1691765277958605,-0.14262462,0.33623722,0.10629402,11.42088890
1691765277962968,-0.14801458,0.33105251,0.10531424,11.43258190
1691765277966780,-0.13074318,0.30399582,0.10344116,11.42350006
1691765277969500,-0.13503514,0.29976541,0.10123974,11.36276054
1691765277973133,-0.13161854,0.28794074,0.09794693,11.37437344
1691765277976946,-0.11762096,0.26018646,0.09293021,11.35863400
1691765277980947,-0.09280860,0.22950417,0.08929089,11.27455807
1691765277985887,-0.10461956,0.24389705,0.08219898,11.19024086
1691765277988674,-0.09629202,0.21888168,0.07409310,11.03365135
