timestamp,gate1_marker1_x,gate1_marker1_y,gate1_marker1_z,gate1_marker2_x,gate1_marker2_y,gate1_marker2_z,gate1_marker3_x,gate1_marker3_y,gate1_marker3_z,gate1_marker4_x,gate1_marker4_y,gate1_marker4_z,gate2_marker1_x,gate2_marker1_y,gate2_marker1_z,gate2_marker2_x,gate2_marker2_y,gate2_marker2_z,gate2_marker3_x,gate2_marker3_y,gate2_marker3_z,gate2_marker4_x,gate2_marker4_y,gate2_marker4_z,gate3_marker1_x,gate3_marker1_y,gate3_marker1_z,gate3_marker2_x,gate3_marker2_y,gate3_marker2_z,gate3_marker3_x,gate3_marker3_y,gate3_marker3_z,gate3_marker4_x,gate3_marker4_y,gate3_marker4_z,gate4_marker1_x,gate4_marker1_y,gate4_marker1_z,gate4_marker2_x,gate4_marker2_y,gate4_marker2_z,gate4_marker3_x,gate4_marker3_y,gate4_marker3_z,gate4_marker4_x,gate4_marker4_y,gate4_marker4_z
1691757638960377.0,3.978943,2.038597,0.370197,4.016334,0.531409,0.374343,3.978889,0.54065,1.902459,3.939675,2.086265,1.896762,4.016292,-0.565002,1.923021,4.017329,-0.59672,0.396576,4.003287,-2.104695,1.931256,3.988654,-2.097813,0.40732,-4.054379,-2.048802,1.933187,-4.009125,-2.045539,0.399122,-3.993155,-0.536078,0.396474,-3.966669,-0.513781,1.927348,-3.964935,0.531609,0.406259,-3.920692,0.52008,1.933137,-3.994905,2.033319,0.41381,-4.021223,2.033648,1.945833
1691757638964007.0,3.97898,2.038643,0.3702,4.016328,0.53137,0.374334,3.978963,0.540638,1.902484,3.939643,2.086243,1.896719,4.016291,-0.565008,1.92303,4.017314,-0.596727,0.396574,4.003198,-2.104737,1.931236,3.988692,-2.0978,0.407313,-4.054307,-2.048874,1.933237,-4.009201,-2.04558,0.399178,-3.993228,-0.536008,0.396555,-3.96675,-0.513803,1.927279,-3.96488,0.531643,0.40627,-3.92068,0.52008,1.933174,-3.994927,2.033314,0.413803,-4.021241,2.033669,1.945799
1691757638967647.0,3.978918,2.038568,0.370217,4.0163,0.531379,0.374358,3.978938,0.540677,1.902503,3.939682,2.086278,1.89675,4.016281,-0.565002,1.923009,4.017348,-0.596719,0.396569,4.003264,-2.104697,1.931218,3.988657,-2.097804,0.407299,-4.054356,-2.048817,1.933289,-4.009229,-2.045485,0.399239,-3.993176,-0.536077,0.396526,-3.966762,-0.513817,1.927336,-3.96488,0.531614,0.406325,-3.920662,0.520082,1.933172,-3.994964,2.033317,0.413803,-4.021245,2.033694,1.945846
1691757638971287.0,3.978928,2.038614,0.370228,4.016324,0.531396,0.374338,3.978911,0.540645,1.902478,3.939673,2.08625,1.896738,4.016324,-0.565002,1.92304,4.017314,-0.596706,0.396584,4.003219,-2.104703,1.931244,3.988682,-2.097793,0.407358,-4.054284,-2.048866,1.933248,-4.009096,-2.045562,0.399175,-3.993209,-0.536113,0.396509,-3.966679,-0.513816,1.927318,-3.964857,0.531644,0.40632,-3.920707,0.520089,1.933162,-3.994957,2.033319,0.413827,-4.021253,2.033654,1.945845
1691757638974917.0,3.978946,2.038621,0.370229,4.016344,0.531391,0.37436,3.978932,0.540655,1.902487,3.939662,2.086286,1.896788,4.016301,-0.565012,1.923062,4.017321,-0.596699,0.396584,4.00325,-2.104699,1.931236,3.987866,-2.098011,0.406899,-4.054404,-2.048901,1.933223,-4.009057,-2.045589,0.399099,-3.993149,-0.536127,0.396515,-3.966679,-0.513801,1.927362,-3.964855,0.531642,0.406327,-3.920737,0.520084,1.933175,-3.994902,2.0333,0.413808,-4.021318,2.033658,1.945783
1691757638978557.0,3.978984,2.038642,0.370269,4.016339,0.531412,0.374366,3.978989,0.540699,1.902465,3.939682,2.086252,1.896793,4.016326,-0.565009,1.923064,4.017305,-0.596713,0.396583,4.003224,-2.104716,1.931241,3.988672,-2.097793,0.407341,-4.054144,-2.048933,1.933255,-4.009227,-2.04552,0.399221,-3.993079,-0.536022,0.396546,-3.966711,-0.51382,1.927344,-3.96488,0.531626,0.406319,-3.920734,0.520089,1.933163,-3.99492,2.033299,0.413797,-4.021307,2.033711,1.945783
1691757638982197.0,3.978981,2.038643,0.370238,4.016369,0.531429,0.374395,3.978954,0.540674,1.902507,3.939731,2.086245,1.896787,4.01633,-0.565005,1.923087,4.017315,-0.59674,0.396577,4.003199,-2.104726,1.931242,3.987824,-2.098011,0.406887,-4.054229,-2.048931,1.933231,-4.008924,-2.04574,0.399056,-3.99302,-0.536115,0.396465,-3.966757,-0.513809,1.927421,-3.964899,0.531605,0.406325,-3.920721,0.520082,1.933165,-3.994963,2.033309,0.413795,-4.021328,2.033702,1.945754
1691757638985827.0,3.979011,2.038681,0.370239,4.01633,0.531418,0.374384,3.979006,0.540711,1.902459,3.939686,2.086317,1.896802,4.01635,-0.565031,1.92311,4.017327,-0.59672,0.396612,4.003278,-2.104705,1.931259,3.987884,-2.097999,0.406914,-4.054203,-2.048913,1.933242,-4.008966,-2.045639,0.399144,-3.992981,-0.536169,0.396398,-3.966722,-0.513805,1.927362,-3.964876,0.531615,0.406281,-3.920692,0.520049,1.933171,-3.99491,2.033288,0.413729,-4.021329,2.03368,1.945726
1691757638989467.0,3.978977,2.038619,0.370274,4.016327,0.531416,0.374367,3.978983,0.540685,1.902424,3.939676,2.086283,1.896792,4.016337,-0.564995,1.92308,4.0173,-0.596711,0.396599,4.003161,-2.104777,1.931271,3.987903,-2.098016,0.406926,-4.054229,-2.048919,1.933301,-4.008651,-2.045652,0.399112,-3.992934,-0.536112,0.396512,-3.966646,-0.513812,1.927385,-3.964847,0.531557,0.406228,-3.92066,0.520032,1.93312,-3.994944,2.033301,0.413718,-4.021333,2.033687,1.945755
1691757638993107.0,3.979016,2.038652,0.370271,4.016311,0.531429,0.374353,3.978986,0.540715,1.902422,3.939688,2.086321,1.896786,4.016326,-0.565011,1.923054,4.017282,-0.596724,0.39659,4.003253,-2.104686,1.931274,3.987864,-2.098003,0.406892,-4.054186,-2.048927,1.933198,-4.008855,-2.045603,0.399123,-3.993036,-0.536139,0.396414,-3.966623,-0.513818,1.927354,-3.964906,0.531573,0.406229,-3.920703,0.52002,1.933162,-3.994952,2.03331,0.413843,-4.021264,2.033664,1.945769
1691757638996737.0,3.978941,2.038605,0.370247,4.016337,0.531405,0.37435,3.978979,0.540654,1.902437,3.939716,2.086297,1.896773,4.016352,-0.565011,1.923061,4.017314,-0.596724,0.396593,4.00317,-2.104752,1.931238,3.987866,-2.09799,0.406922,-4.054276,-2.048939,1.933236,-4.009319,-2.04542,0.399235,-3.9931,-0.536152,0.396372,-3.966619,-0.513804,1.927329,-3.96488,0.531558,0.406237,-3.92065,0.520011,1.933207,-3.994888,2.033299,0.413769,-4.021262,2.03367,1.945744
