timestamp,roll,pitch,yaw,norm_thrust
1704712213784874,0.09098309,0.28790301,0.00801140,8.63844967
1704712213790868,0.17468098,0.24861044,0.00749006,8.70768452
1704712213796945,0.24515088,0.19892703,0.00651932,8.78569412
1704712213806898,0.31208080,0.09464315,0.00411672,8.89552879
1704712213812885,0.31300396,0.03009512,0.00430316,8.93978500
1704712213818891,0.29688445,-0.03681126,0.00360430,8.95108891
1704712213824856,0.27017844,-0.10761733,0.00198855,8.93831635
1704712213830869,0.23063028,-0.16148242,0.00063056,8.94017506
1704712213836965,0.17449901,-0.19849715,0.00000871,8.95382118
1704712213842867,0.11116255,-0.21859077,0.00066049,8.96148491
1704712213848952,0.03982003,-0.21505843,0.00107004,8.97512436
1704712213854920,-0.03722452,-0.19763471,0.00109477,8.98395824
1704712213862910,-0.14157741,-0.16040644,0.00078376,8.99496365
1704712213868871,-0.21207452,-0.12260728,0.00096870,9.01047707
1704712213874866,-0.26756912,-0.08398151,0.00068798,9.02474213
1704712213880893,-0.29865181,-0.03985232,-0.00012754,9.08739948
1704712213886870,-0.31003228,-0.00713892,-0.00082910,9.09222031
1704712213892909,-0.31121212,0.04435029,-0.00161232,9.10354805
1704712213898898,-0.29628175,0.09989233,-0.00237400,9.11726093
1704712213904895,-0.26565951,0.14311205,-0.00237894,9.12288761
1704712213910861,-0.21927287,0.17755580,-0.00191500,9.15785694
1704712213916900,-0.16056544,0.19795264,-0.00123442,9.20236397
1704712213922889,-0.10217036,0.20094876,-0.00044712,9.23316288
1704712213928893,-0.04088083,0.19377887,0.00013725,9.28500366
1704712213937091,0.04208133,0.16790928,0.00056541,9.34589958
1704712213944886,0.11063762,0.12790060,-0.00019740,9.41119194
1704712213950849,0.15069292,0.09127650,-0.00111174,9.47272205
1704712213956995,0.17855285,0.05067068,-0.00216787,9.53537464
1704712213962872,0.18952063,0.01380577,-0.00310882,9.57960987
1704712213968875,0.19141100,-0.02064777,-0.00391178,9.63972759
1704712213974966,0.18136075,-0.05349591,-0.00470982,9.69689846
1704712213978898,0.16551456,-0.07409124,-0.00483899,9.72677135
1704712213986997,0.12399144,-0.10661173,-0.00433421,9.78340244
1704712213994952,0.07124716,-0.12385045,-0.00355282,9.83045292
1704712214000836,0.02732074,-0.12723750,-0.00348669,9.86884785
1704712214006902,-0.01963167,-0.12537758,-0.00396229,9.88685894
1704712214012855,-0.06284525,-0.10838237,-0.00432503,9.91686535
1704712214018977,-0.09877445,-0.08254427,-0.00485967,9.94285488
1704712214024927,-0.12550049,-0.05600993,-0.00537363,9.94923592
1704712214030908,-0.14202651,-0.02137434,-0.00578326,9.97032928
1704712214036897,-0.14837341,0.01581007,-0.00640262,9.99048710
1704712214042897,-0.14545499,0.04829871,-0.00689992,9.99292946
1704712214048909,-0.13395603,0.08202921,-0.00762942,10.01328564
1704712214058926,-0.09767579,0.11935627,-0.00890837,10.02017117
1704712214064914,-0.06829886,0.13629797,-0.00908878,10.03573895
1704712214070863,-0.03671732,0.14513041,-0.00864908,10.04803467
1704712214076904,-0.00536999,0.14499606,-0.00784151,10.05620289
1704712214082905,0.02192474,0.13538234,-0.00679615,10.04473019
1704712214088881,0.04338816,0.12068031,-0.00570049,10.03173828
1704712214094888,0.05759388,0.10306006,-0.00492318,10.03611279
1704712214099907,0.06208267,0.08459438,-0.00466125,10.04414463
1704712214106906,0.05863000,0.05838532,-0.00461810,10.04015255
1704712214114948,0.04739703,0.02658777,-0.00463678,10.03037643
1704712214120841,0.03516657,0.00305642,-0.00441193,10.02691936
1704712214126942,0.01974373,-0.01958123,-0.00395737,10.00703239
1704712214132924,0.00268318,-0.02914448,-0.00355419,9.99607182
1704712214138841,-0.01464714,-0.03037864,-0.00309764,9.98508644
1704712214145033,-0.03031674,-0.03779908,-0.00276391,9.95915031
1704712214150879,-0.04069749,-0.03187040,-0.00273265,9.94476223
1704712214156908,-0.04755003,-0.02211098,-0.00298396,9.93130207
1704712214162871,-0.05263301,-0.01543523,-0.00324360,9.90651989
1704712214168916,-0.05482206,0.00040060,-0.00360206,9.89429283
1704712214178877,-0.05750814,0.02007633,-0.00499948,9.85605812
1704712214184901,-0.05667349,0.02575079,-0.00556269,9.82984924
1704712214190888,-0.05500690,0.02977299,-0.00592092,9.80536556
1704712214192896,-0.05427954,0.02996846,-0.00601096,9.79764175
1704712214200873,-0.03162731,0.04695416,-0.00659416,9.83166790
1704712214206937,-0.02104692,0.04802036,-0.00661040,9.82208824
1704712214214942,-0.00939251,0.04491051,-0.00661238,9.84756088
1704712214220833,-0.00488577,0.04047184,-0.00672075,9.84845066
1704712214226955,0.00172876,0.03431544,-0.00660034,9.86848927
1704712214230908,0.00809932,0.02854671,-0.00635790,9.87660885
1704712214240894,0.02449858,0.01734244,-0.00642473,9.90712929
1704712214246913,0.02909563,0.00894489,-0.00627421,9.91257572
1704712214252905,0.03697919,0.00880616,-0.00588234,9.93152618
1704712214258889,0.03949365,0.01182550,-0.00529668,9.94982529
1704712214264872,0.03903143,0.00734725,-0.00473186,9.95084381
1704712214270892,0.03552182,0.00645840,-0.00387427,9.96960258
1704712214276915,0.03070670,-0.00078497,-0.00282769,9.96732330
1704712214282926,0.02685798,-0.00473348,-0.00207867,9.98055077
1704712214288896,0.02409855,-0.00622257,-0.00157931,9.99339008
1704712214294908,0.01633048,-0.00818640,-0.00133414,10.00772667
1704712214304868,-0.00178196,-0.02445938,-0.00110113,10.01575851
1704712214306905,-0.00507195,-0.02951727,-0.00110578,10.03036594
1704712214316925,-0.01994440,-0.05030186,-0.00178488,10.04830360
1704712214322892,-0.02130667,-0.05923481,-0.00213897,10.07892704
1704712214328889,-0.02327167,-0.06224639,-0.00229002,10.11053562
1704712214334904,-0.02615982,-0.06508628,-0.00198755,10.11992836
1704712214340882,-0.02478045,-0.06233536,-0.00163797,10.14949894
1704712214346896,-0.02235629,-0.05568993,-0.00148251,10.17602253
1704712214348888,-0.02322118,-0.05509870,-0.00146079,10.17082691
1704712214358965,-0.01759236,-0.03182459,-0.00117590,10.19899178
1704712214360882,-0.01577915,-0.02487646,-0.00115756,10.21398544
1704712214370876,-0.00481078,-0.01281158,-0.00110804,10.21913052
1704712214378891,0.00738169,-0.00411467,-0.00104025,10.24506569
1704712214380875,0.00936549,-0.00373476,-0.00103835,10.23578453
1704712214390842,0.02086224,-0.00066333,-0.00141175,10.24763775
1704712214397022,0.02498475,-0.00532496,-0.00184675,10.25934410
1704712214402923,0.02249106,-0.01524751,-0.00181858,10.24841499
1704712214408943,0.02038834,-0.02367780,-0.00162964,10.25409889
1704712214414910,0.01666613,-0.03289554,-0.00165231,10.25352383
1704712214420876,0.01402411,-0.04503699,-0.00163791,10.23427200
1704712214426955,0.01187886,-0.05397665,-0.00157827,10.23180676
