timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1704716169386439,0.02873042,-0.00957681,9.92157173,0.00639159,0.01384844,0.01065264
1704716169388539,0.02394202,-0.00478840,9.92157173,0.00852212,0.00426106,0.00106526
1704716169390383,0.02394202,0.00478840,9.91678333,0.01384844,0.01491370,-0.01065264
1704716169392461,0.02873042,0.00478840,9.91199493,0.01065264,0.03195793,-0.01065264
1704716169394491,0.03351882,0.00478840,9.90241814,0.00745685,0.03941479,0.00106526
1704716169396492,0.02873042,0.00000000,9.90241814,-0.00319579,0.03408846,0.01384844
1704716169398478,0.01915361,0.00478840,9.91199493,-0.00532632,0.01065264,0.01384844
1704716169400471,0.01436521,0.00957681,9.91199493,0.00106526,0.00213053,-0.00426106
1704716169402454,0.01436521,0.01436521,9.91199493,0.00639159,0.00745685,-0.00852212
1704716169404453,0.02394202,0.01436521,9.90241814,0.01065264,0.02982740,-0.00639159
1704716169406507,0.02394202,0.00957681,9.90720654,-0.00213053,0.03621899,0.00213053
1704716169408605,0.01915361,0.01436521,9.91199493,-0.00426106,0.02663161,0.00958738
1704716169410428,0.01436521,0.00957681,9.91678333,-0.00532632,0.00745685,0.00426106
1704716169412471,0.01436521,0.01436521,9.91678333,0.00319579,0.00106526,0.00106526
1704716169414510,0.01436521,0.01436521,9.91199493,0.00639159,0.01597897,-0.00745685
1704716169416407,0.01436521,0.01915361,9.91199493,0.01278317,0.02343582,-0.00745685
1704716169418492,0.00957681,0.01915361,9.91199493,-0.00213053,0.03408846,0.00532632
1704716169420486,0.00478840,0.01915361,9.91199493,-0.00532632,0.02450108,0.00745685
1704716169422589,0.00478840,0.01436521,9.91678333,-0.00639159,0.01171791,0.00958738
1704716169424475,0.00000000,0.00957681,9.91199493,-0.00319579,0.00532632,0.00000000
1704716169426625,0.00000000,0.01915361,9.91678333,0.00213053,0.00426106,-0.00852212
1704716169428445,0.00000000,0.01915361,9.91199493,0.00106526,0.02024002,-0.01065264
1704716169430495,0.00000000,0.01915361,9.91199493,-0.00532632,0.03089267,0.00958738
1704716169432495,0.00478840,0.00957681,9.91199493,-0.01278317,0.02982740,0.01065264
1704716169434561,0.00000000,0.00957681,9.92157173,-0.01384844,0.01917476,0.00852212
1704716169436510,0.00000000,0.00957681,9.92157173,0.00106526,0.00319579,-0.00639159
1704716169438521,0.00000000,0.01436521,9.92157173,0.00852212,0.00319579,-0.00958738
1704716169440496,0.00478840,0.01436521,9.92157173,0.01171791,0.02024002,-0.00426106
1704716169442475,0.00957681,0.00957681,9.91678333,-0.00426106,0.03728426,0.00319579
1704716169444453,0.00957681,0.00478840,9.92157173,-0.00852212,0.03302320,0.00426106
1704716169446527,0.00957681,0.00478840,9.92636013,-0.01171791,0.01704423,-0.00213053
1704716169448517,0.00957681,0.00478840,9.93114853,-0.00213053,0.00426106,-0.00426106
1704716169450436,0.01436521,0.00478840,9.92636013,0.00426106,0.01171791,-0.00106526
1704716169452472,0.01915361,0.00000000,9.92157173,0.00000000,0.02663161,0.00213053
1704716169454486,0.02394202,-0.00478840,9.91678333,-0.00532632,0.03834952,0.00106526
1704716169456528,0.02394202,-0.00957681,9.91678333,-0.00213053,0.03408846,0.00213053
1704716169458591,0.01915361,-0.00957681,9.92636013,0.00426106,0.02024002,0.00319579
1704716169460439,0.01436521,-0.00957681,9.92636013,0.00639159,0.00532632,-0.00426106
1704716169462510,0.01436521,-0.00957681,9.92157173,0.00745685,0.01065264,-0.00426106
1704716169464524,0.01915361,-0.00957681,9.91199493,0.00319579,0.02343582,-0.00319579
1704716169466601,0.01915361,-0.01436521,9.90720654,-0.00213053,0.03302320,-0.00213053
1704716169468455,0.01436521,-0.01436521,9.91199493,-0.00213053,0.02982740,0.00426106
1704716169470523,0.00478840,-0.00957681,9.92157173,0.00426106,0.01384844,0.00000000
1704716169472532,0.00000000,-0.00957681,9.92157173,0.00852212,0.00426106,-0.00532632
