timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1704701147021621,-0.00957681,-0.03351882,9.88805294,0.02663161,-0.02237055,0.00852212
1704701147023673,-0.01436521,-0.04309563,9.88326454,0.02237055,-0.02556635,0.00532632
1704701147025591,-0.01915361,-0.04788403,9.88326454,0.02343582,-0.03515373,-0.00958738
1704701147027539,-0.02394202,-0.04309563,9.88805294,0.02556635,-0.03728426,-0.02556635
1704701147029586,-0.02873042,-0.03830723,9.88805294,0.03089267,-0.03302320,-0.01597897
1704701147031605,-0.02394202,-0.03351882,9.89284134,0.02663161,-0.02343582,-0.00852212
1704701147033583,-0.02394202,-0.04309563,9.89284134,0.02663161,-0.01704423,0.00532632
1704701147035561,-0.02394202,-0.04309563,9.89762974,0.02130529,-0.02450108,0.01278317
1704701147037538,-0.02873042,-0.04309563,9.89762974,0.01810949,-0.03408846,-0.00106526
1704701147039588,-0.02873042,-0.03351882,9.90241814,0.02237055,-0.03728426,-0.01065264
1704701147041572,-0.02394202,-0.02873042,9.90241814,0.02237055,-0.02982740,-0.01704423
1704701147043545,-0.00957681,-0.02873042,9.90241814,0.02556635,-0.01384844,-0.00852212
1704701147045600,-0.00478840,-0.02873042,9.90241814,0.02237055,-0.00852212,0.00958738
1704701147047569,-0.00478840,-0.02394202,9.91199493,0.01810949,-0.01491370,0.00852212
1704701147049562,-0.00478840,-0.01915361,9.91678333,0.01917476,-0.02450108,-0.00426106
1704701147051566,-0.00478840,-0.01915361,9.92157173,0.01810949,-0.02769688,-0.02450108
1704701147053541,0.00478840,-0.01436521,9.91678333,0.01704423,-0.01917476,-0.02769688
1704701147055633,0.00957681,-0.01436521,9.91678333,0.01384844,-0.00852212,-0.01278317
1704701147057550,0.01436521,-0.00957681,9.92157173,0.01704423,-0.00319579,0.00639159
1704701147059570,0.00957681,-0.00478840,9.92636013,0.01810949,-0.00745685,0.00958738
1704701147061560,0.00957681,0.00000000,9.93593693,0.01171791,-0.01917476,-0.00532632
1704701147063727,0.00957681,0.00000000,9.93114853,0.00319579,-0.02024002,-0.01384844
1704701147065547,0.01915361,0.00000000,9.93114853,0.00532632,-0.01917476,-0.01704423
1704701147067573,0.01915361,0.00957681,9.93114853,0.01278317,-0.00958738,-0.00639159
1704701147069545,0.01915361,0.01436521,9.93593693,0.01597897,-0.00319579,0.01278317
1704701147071574,0.01436521,0.01436521,9.94072533,0.01384844,-0.01065264,0.01491370
1704701147073609,0.01436521,0.00957681,9.94072533,0.00319579,-0.01597897,-0.00426106
1704701147075606,0.01915361,0.00957681,9.94072533,0.00000000,-0.02130529,-0.02130529
1704701147077527,0.01915361,0.00957681,9.94072533,0.00426106,-0.02343582,-0.02556635
1704701147079574,0.01436521,0.01436521,9.94072533,0.01065264,-0.02130529,-0.01278317
1704701147081610,0.00957681,0.01915361,9.93593693,0.01384844,-0.01491370,0.01065264
1704701147083572,0.00957681,0.00957681,9.93593693,0.01065264,-0.01171791,0.00958738
1704701147085586,0.00957681,0.00000000,9.93593693,0.00852212,-0.01704423,-0.00745685
1704701147087522,0.00478840,0.00000000,9.93593693,0.00639159,-0.02663161,-0.02663161
1704701147089590,0.00000000,0.00000000,9.94072533,0.01278317,-0.03302320,-0.02876214
1704701147091598,-0.00478840,0.00478840,9.93593693,0.01704423,-0.02769688,-0.00852212
1704701147093555,-0.00478840,0.00000000,9.93593693,0.01704423,-0.01917476,0.01171791
1704701147095551,-0.00478840,-0.00478840,9.93114853,0.01384844,-0.01384844,0.01384844
1704701147097583,-0.00478840,-0.01915361,9.93593693,0.01278317,-0.01704423,0.00000000
