timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z
1704701147020931,0.00446577,0.00134677,0.05493973,-0.00012223,0.00336401,0.00562581,0.99997848,0.00098701,0.00055175,-0.00003496,0.00038304,0.00122875,-0.00476654
1704701147024568,0.00448177,0.00134519,0.05493324,-0.00012476,0.00336079,0.00561865,0.99997854,0.00405171,-0.00033338,-0.00160629,-0.00139900,-0.00178232,-0.00393222
1704701147028204,0.00448490,0.00134265,0.05492884,-0.00013143,0.00336183,0.00561688,0.99997854,0.00118680,-0.00066169,-0.00125219,-0.00367048,0.00055009,-0.00096109
1704701147031840,0.00445511,0.00133286,0.05494532,-0.00013311,0.00337972,0.00564828,0.99997830,-0.00723762,-0.00248711,0.00394364,-0.00092282,0.00984316,0.01727282
1704701147035477,0.00445463,0.00133253,0.05494759,-0.00013145,0.00338135,0.00565516,0.99997824,-0.00085457,-0.00033303,0.00096251,0.00092110,0.00089779,0.00377938
1704701147039113,0.00445782,0.00133239,0.05495032,-0.00012912,0.00338140,0.00566064,0.99997824,0.00070071,-0.00006905,0.00077346,0.00128972,0.00003713,0.00301397
1704701147042750,0.00445847,0.00133340,0.05495142,-0.00012771,0.00338083,0.00565419,0.99997830,0.00023150,0.00024153,0.00034920,0.00076694,-0.00031222,-0.00355343
1704701147046386,0.00446978,0.00133659,0.05494729,-0.00013833,0.00335823,0.00560099,0.99997866,0.00281799,0.00081309,-0.00098499,-0.00587382,-0.01246564,-0.02924004
1704701147050022,0.00447522,0.00133709,0.05494446,-0.00014661,0.00335493,0.00557192,0.99997884,0.00163093,0.00020745,-0.00079967,-0.00459476,-0.00184214,-0.01597542
1704701147053659,0.00448122,0.00133524,0.05493940,-0.00015395,0.00335524,0.00555660,0.99997890,0.00164781,-0.00043575,-0.00133080,-0.00406939,0.00014480,-0.00840844
1704701147057295,0.00447853,0.00133658,0.05493992,-0.00015172,0.00335447,0.00555460,0.99997890,-0.00049813,0.00028600,-0.00000575,0.00122545,-0.00041765,-0.00110412
1704701147060931,0.00445671,0.00133875,0.05494312,-0.00012054,0.00335256,0.00562012,0.99997854,-0.00544056,0.00056389,0.00078898,0.01727814,-0.00094824,0.03597920
1704701147064568,0.00445392,0.00134075,0.05494439,-0.00011725,0.00335343,0.00562196,0.99997854,-0.00124180,0.00055357,0.00039402,0.00181099,0.00048542,0.00100792
1704701147068204,0.00445331,0.00134257,0.05494639,-0.00011533,0.00335551,0.00561912,0.99997854,-0.00027782,0.00050530,0.00053337,0.00104663,0.00115398,-0.00156396
1704701147071840,0.00445742,0.00134490,0.05494652,-0.00011171,0.00335527,0.00561306,0.99997860,0.00098812,0.00062602,0.00008836,0.00197727,-0.00012455,-0.00334459
1704701147075477,0.00450320,0.00134613,0.05493179,-0.00011169,0.00333272,0.00557251,0.99997890,0.01140487,0.00036717,-0.00362889,0.00000525,-0.01240479,-0.02229646
1704701147079113,0.00452489,0.00134293,0.05492329,-0.00012738,0.00332582,0.00555026,0.99997902,0.00652023,-0.00075137,-0.00246947,-0.00864949,-0.00384499,-0.01220868
1704701147082750,0.00452711,0.00133866,0.05491830,-0.00014916,0.00334157,0.00554812,0.99997902,0.00121078,-0.00113285,-0.00148323,-0.01202627,0.00859812,-0.00113925
1704701147086386,0.00452855,0.00133497,0.05492273,-0.00015062,0.00334351,0.00554686,0.99997902,0.00047918,-0.00102604,0.00094222,-0.00081035,0.00105844,-0.00068734
1704701147090022,0.00451276,0.00133171,0.05492860,-0.00014270,0.00334778,0.00563912,0.99997848,-0.00385187,-0.00091080,0.00154623,0.00450978,0.00238101,0.05073101
1704701147093659,0.00447203,0.00133933,0.05493690,-0.00013653,0.00335827,0.00565857,0.99997830,-0.01045017,0.00179156,0.00220629,0.00339467,0.00579435,0.01068558
1704701147097295,0.00446651,0.00134176,0.05493864,-0.00013587,0.00336061,0.00566051,0.99997830,-0.00242781,0.00078031,0.00065531,0.00035854,0.00128525,0.00106199
1704701147100931,0.00446866,0.00134380,0.05493928,-0.00013320,0.00336016,0.00564666,0.99997842,0.00028401,0.00058429,0.00022408,0.00144579,-0.00024011,-0.00761990
1704701147104568,0.00448501,0.00134586,0.05493382,-0.00013626,0.00334848,0.00562261,0.99997854,0.00406654,0.00056893,-0.00132507,-0.00169105,-0.00643161,-0.01322088
1704701147108204,0.00450646,0.00134565,0.05491888,-0.00014568,0.00333587,0.00560131,0.99997872,0.00571370,0.00000450,-0.00382507,-0.00518266,-0.00696909,-0.01169530
1704701147111840,0.00449829,0.00134679,0.05492904,-0.00014366,0.00334376,0.00559353,0.99997872,-0.00143724,0.00028329,0.00212003,0.00107305,0.00434720,-0.00428515
1704701147115477,0.00449618,0.00134992,0.05493218,-0.00014278,0.00334594,0.00558836,0.99997878,-0.00066757,0.00080244,0.00099133,0.00046677,0.00119794,-0.00284574
1704701147119113,0.00447451,0.00134952,0.05493768,-0.00013067,0.00333760,0.00562883,0.99997854,-0.00542146,-0.00001662,0.00145829,0.00676645,-0.00454791,0.02224031
1704701147122750,0.00446802,0.00135064,0.05493784,-0.00011308,0.00333612,0.00566716,0.99997836,-0.00215335,0.00027458,0.00018887,0.00974705,-0.00075207,0.02104753
1704701147126386,0.00446923,0.00135042,0.05493781,-0.00011155,0.00333561,0.00567013,0.99997836,0.00007856,-0.00002596,0.00001095,0.00084889,-0.00027890,0.00162965
1704701147130022,0.00448032,0.00134736,0.05493524,-0.00011219,0.00333502,0.00567068,0.99997836,0.00274755,-0.00076092,-0.00063201,-0.00035096,-0.00032434,0.00030380
1704701147133659,0.00450341,0.00133723,0.05492391,-0.00012735,0.00333461,0.00566588,0.99997836,0.00598424,-0.00257905,-0.00286403,-0.00834403,-0.00027221,-0.00261191
1704701147137295,0.00450450,0.00133672,0.05492387,-0.00013808,0.00333344,0.00563839,0.99997854,0.00087640,-0.00038872,-0.00030173,-0.00594713,-0.00068178,-0.01510037
1704701147140931,0.00449363,0.00134417,0.05492904,-0.00012708,0.00333795,0.00563362,0.99997854,-0.00259476,0.00180067,0.00124749,0.00602537,0.00251519,-0.00264490
1704701147144568,0.00449338,0.00134524,0.05492955,-0.00012408,0.00333741,0.00563038,0.99997854,-0.00032602,0.00044811,0.00025390,0.00164590,-0.00028572,-0.00178668
1704701147148204,0.00447289,0.00134406,0.05493407,-0.00010910,0.00332937,0.00566748,0.99997836,-0.00509439,-0.00024606,0.00114210,0.00833005,-0.00437351,0.02038006
1704701147151840,0.00446696,0.00134460,0.05493459,-0.00009180,0.00332512,0.00569808,0.99997824,-0.00198361,0.00010904,0.00024512,0.00958656,-0.00228220,0.01679635
1704701147155477,0.00446872,0.00134491,0.05493352,-0.00009682,0.00332969,0.00568704,0.99997824,0.00023265,0.00008803,-0.00024095,-0.00279631,0.00249599,-0.00605736
1704701147159113,0.00446942,0.00134405,0.05493310,-0.00010977,0.00333995,0.00567155,0.99997830,0.00019531,-0.00020370,-0.00012668,-0.00717817,0.00560105,-0.00849737
1704701147162750,0.00446865,0.00134382,0.05493386,-0.00011275,0.00334173,0.00566513,0.99997836,-0.00017012,-0.00007702,0.00017296,-0.00165833,0.00096883,-0.00352820
1704701147166386,0.00446856,0.00134410,0.05493454,-0.00010764,0.00334012,0.00564513,0.99997848,-0.00003780,0.00005988,0.00018509,0.00278066,-0.00087240,-0.01100984
1704701147170022,0.00446742,0.00134500,0.05493611,-0.00010419,0.00334137,0.00564551,0.99997848,-0.00028648,0.00022825,0.00040719,0.00189464,0.00069941,0.00020531
1704701147173659,0.00447117,0.00134534,0.05493654,-0.00010361,0.00334107,0.00564486,0.99997848,0.00089642,0.00010821,0.00014724,0.00031503,-0.00016112,-0.00036033
1704701147177295,0.00446565,0.00134109,0.05493711,-0.00009914,0.00332752,0.00571259,0.99997813,-0.00127172,-0.00103851,0.00015579,0.00262795,-0.00743425,0.03724823
1704701147180931,0.00445131,0.00134144,0.05493458,-0.00009527,0.00333055,0.00572079,0.99997807,-0.00367217,-0.00001895,-0.00060714,0.00213320,0.00167766,0.00450241
1704701147184568,0.00445260,0.00134062,0.05493162,-0.00009873,0.00333001,0.00571157,0.99997813,-0.00005498,-0.00020497,-0.00079322,-0.00192016,-0.00030675,-0.00506489
1704701147188204,0.00444877,0.00133652,0.05492932,-0.00011592,0.00334565,0.00569877,0.99997813,-0.00095068,-0.00103460,-0.00065039,-0.00952281,0.00854611,-0.00701021
1704701147191840,0.00444820,0.00133644,0.05493056,-0.00010738,0.00334775,0.00568282,0.99997824,-0.00023886,-0.00012501,0.00024206,0.00466103,0.00118149,-0.00878731
1704701147195477,0.00446014,0.00134214,0.05492701,-0.00009999,0.00332787,0.00566464,0.99997842,0.00292641,0.00139447,-0.00085402,0.00409010,-0.01091174,-0.01000813
1704701147199113,0.00446311,0.00134484,0.05492700,-0.00010084,0.00332434,0.00564887,0.99997848,0.00103105,0.00080921,-0.00008880,-0.00048332,-0.00194639,-0.00867400
